DATE,PRICE,SPACE,CATEGORIES
2020-12-08,1405.00,66,"APARTMENT, FLAT"
2019-11-29,2450.00,113,"APARTMENT, FLAT"
2019-06-29,1125.00,50,APARTMENT
2020-12-22,895.00,55,"APARTMENT, FLAT"
2018-09-15,1540.00,84,APARTMENT
2018-04-12,1705.00,95,APARTMENT
2020-01-25,1040.00,58,"APARTMENT, FLAT"
2020-10-08,2742.00,150,"APARTMENT, DUPLEX"
2020-06-26,1480.00,71,"APARTMENT, FLAT"
2018-06-27,575.00,32,APARTMENT
2018-01-31,3175.00,141,APARTMENT
2018-10-25,1170.00,54,APARTMENT
2018-06-27,895.00,58,APARTMENT
2020-05-07,1250.00,71,"APARTMENT, FLAT"
2018-01-23,1387.00,72,APARTMENT
2018-06-20,1750.00,84,APARTMENT
2020-12-04,2200.00,117,"APARTMENT, ATTIC_FLAT"
2018-02-23,1230.00,59,APARTMENT
2018-01-19,1865.00,86,APARTMENT
2018-06-30,1745.00,95,APARTMENT
2018-10-30,2140.00,103,APARTMENT
2018-11-07,1900.00,85,APARTMENT
2018-09-19,1123.00,59,APARTMENT
2019-11-27,1020.00,51,APARTMENT
2018-01-27,2685.00,113,APARTMENT
2018-10-03,1220.00,70,APARTMENT
2019-09-21,2290.00,93,APARTMENT
2019-07-11,565.00,30,APARTMENT
2020-08-18,1128.00,55,"APARTMENT, ROOF_FLAT"
2019-10-31,575.00,28,APARTMENT
2018-08-11,2710.00,134,APARTMENT
2020-08-08,1900.00,114,"APARTMENT, FLAT"
2021-01-05,1354.00,66,"APARTMENT, FLAT"
2019-03-01,1125.00,59,APARTMENT
2020-11-27,1995.00,106,"APARTMENT, FLAT"
2019-02-08,1900.00,102,ATTIC_FLAT
2018-06-12,1260.00,84,APARTMENT
2018-06-15,655.00,32,APARTMENT
2018-11-05,1460.00,70,APARTMENT
2018-06-01,510.00,32,APARTMENT
2019-07-24,1410.00,72,APARTMENT
2018-08-31,1195.00,53,APARTMENT
2020-12-12,2150.00,98,"APARTMENT, FLAT"
2019-03-01,1630.00,93,APARTMENT
2019-01-30,2275.00,107,APARTMENT
2020-06-11,1240.00,72,"APARTMENT, FLAT"
2020-02-19,1450.00,87,"APARTMENT, FLAT"
2018-11-05,2190.00,120,APARTMENT
2018-09-29,1095.00,51,APARTMENT
2019-11-14,1460.00,70,APARTMENT
2019-09-10,2615.00,190,ROOF_FLAT
2019-11-21,2385.00,126,APARTMENT
2018-02-27,690.00,36,APARTMENT
2019-07-25,1935.00,113,APARTMENT
2019-10-15,1910.00,106,APARTMENT
2020-02-19,2125.00,100,"APARTMENT, FLAT"
2020-12-15,1320.00,63,"APARTMENT, FLAT"
2020-06-11,1125.00,50,"APARTMENT, FLAT"
2018-08-30,2795.00,129,ATTIC_FLAT
2018-03-08,4620.00,169,APARTMENT
2020-08-18,2739.00,141,"APARTMENT, FLAT"
2019-05-10,2400.00,147,DUPLEX
2020-05-13,1890.00,86,"APARTMENT, FLAT"
2020-06-13,1750.00,84,"APARTMENT, FLAT"
2020-07-01,1477.00,69,"APARTMENT, FLAT"
2019-07-24,1400.00,84,APARTMENT
2019-02-08,1460.00,70,APARTMENT
2019-09-13,1140.00,70,APARTMENT
2020-08-20,1570.00,105,"APARTMENT, FLAT"
2019-08-09,1524.00,105,APARTMENT
2020-09-16,1487.00,70,"APARTMENT, FLAT"
2020-07-11,1755.00,81,"APARTMENT, FLAT"
2020-08-08,3475.00,178,"APARTMENT, FLAT"
2020-06-13,1160.00,58,"APARTMENT, FLAT"
2021-01-07,1850.00,111,"APARTMENT, FLAT"
2020-10-02,5865.00,201,"APARTMENT, FLAT"
2020-08-14,3060.00,,"RETAIL, SHOP"
2018-09-13,720.00,54,APARTMENT
2018-05-24,1665.00,74,APARTMENT
2020-05-05,2150.00,121,"APARTMENT, FLAT"
2018-01-05,1520.00,91,APARTMENT
2020-04-21,1240.00,68,"APARTMENT, FLAT"
2020-01-04,1665.00,100,"APARTMENT, FLAT"
2019-10-19,1155.00,66,APARTMENT
2020-06-13,1195.00,70,"APARTMENT, FLAT"
2018-07-14,1500.00,83,APARTMENT
2019-11-27,645.00,43,APARTMENT
2020-08-27,2322.00,113,"APARTMENT, FLAT"
2020-10-13,1040.00,47,"APARTMENT, FLAT"
2020-01-03,1470.00,70,"APARTMENT, FLAT"
2020-08-11,1170.00,54,"APARTMENT, FLAT"
2020-10-20,1160.00,58,"APARTMENT, FLAT"
2018-10-11,1460.00,70,APARTMENT
2018-09-20,1670.00,91,APARTMENT
2020-01-22,1255.00,64,"APARTMENT, FLAT"
2020-10-07,1460.00,70,"APARTMENT, FLAT"
2018-06-21,840.00,49,APARTMENT
2018-08-14,1170.00,54,APARTMENT
2019-04-05,1460.00,70,APARTMENT
2019-11-14,2640.00,113,APARTMENT
2019-08-21,1520.00,83,APARTMENT
2019-04-12,1160.00,58,APARTMENT
2020-06-23,1500.00,97,"APARTMENT, FLAT"
2018-09-13,1570.00,82,APARTMENT
2018-10-03,1220.00,56,APARTMENT
